user,community,community_infomap,degree_centrality_undirected,in_degree_centrality_directed,out_degree_centrality_directed,closeness_centrality_undirected,closeness_centrality_directed,betweenness_centrality_undirected,betweenness_centrality_directed,pagerank,stance_score,stance_leaning
did:plc:6jnz34gjlf6xkf25ydxzrzhd,38,18,0.001466275659824047,0.001466275659824047,0.0,0.0026392961876832845,0.0026392961876832845,0.0,0.0,0.0018095361226200628,0.0,neutral
mjlinde.bsky.social,34,65,0.002932551319648094,0.0,0.002932551319648094,0.002932551319648094,0.0,4.306242760129359e-06,0.0,0.0008512649162196095,-0.0020013961184304208,neutral
did:plc:abwtouakv2fu74ihftvmsvbk,34,65,0.001466275659824047,0.001466275659824047,0.0,0.0019550342130987292,0.001466275659824047,0.0,0.0,0.0012131268076765046,0.0,neutral
aprilglick.bsky.social,35,24,0.00439882697947214,0.00439882697947214,0.0,0.030173359666447224,0.004398826979472141,0.0018387656585752365,0.0,0.002178091851561558,0.13827116428874434,sinner
bethb823.bsky.social,25,50,0.001466275659824047,0.0,0.001466275659824047,0.0019550342130987292,0.0,0.0,0.0,0.0008512649162196095,-0.6368771696928889,alcaraz
jacquimartin75.bsky.social,15,6,0.00439882697947214,0.001466275659824047,0.002932551319648094,0.031290891505945266,0.0036656891495601175,0.004422511314652845,6.028739864181103e-05,0.0012325279736474927,0.09966708955477802,sinner
caramellato.bsky.social,36,76,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.016430797521024942,neutral
jeperego.bsky.social,36,76,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.11126644821009701,sinner
nolanmutd.bsky.social,37,27,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.0,0.0,0.005623901794836843,0.0,neutral
colaaalips.bsky.social,37,27,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.0,0.0,0.005623901794836843,-0.09052983834408224,alcaraz
goffry.bsky.social,38,18,0.002932551319648094,0.001466275659824047,0.002932551319648094,0.003299120234604106,0.0019550342130987292,0.0,0.0,0.0027678073290205163,0.0,neutral
pupulmimsi.bsky.social,39,28,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.0,0.0,0.005623901794836843,0.2913402562960982,sinner
brian55.bsky.social,39,28,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.0,0.0,0.005623901794836843,-0.2962611947557889,alcaraz
burninggiraffe.bsky.social,40,77,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.06250350698828697,sinner
did:plc:l24dneszyhb3acoouovqtjrq,40,77,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
adamfromphilly.bsky.social,35,23,0.00439882697947214,0.0,0.00439882697947214,0.036431079022322316,0.0,0.004000499524160175,0.0,0.0008512649162196095,-0.2002358478028327,alcaraz
randyrnbla.bsky.social,35,24,0.001466275659824047,0.0,0.001466275659824047,0.025454713750173552,0.0,0.0,0.0,0.0008512649162196095,0.3665007021500626,sinner
